File,Line,Error type,Message,Fixability
api-detail/content-delivery-api.md,16,Future tense,"Future tense ""will"" — rewrite in present tense",Manual content edit
api-detail/content-delivery-api.md,20,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-delivery-api.md,2315,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-delivery-api.md,2400,Punctuation / style,"""please"" in instructions — remove it",Manual content edit
api-detail/content-delivery-api.md,11,ALL CAPS word,"ALL CAPS word ""AZURE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,24,ALL CAPS word,"ALL CAPS word ""NOT"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,43,ALL CAPS word,"ALL CAPS word ""PHP"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,47,ALL CAPS word,"ALL CAPS word ""NET"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,2031,ALL CAPS word,"ALL CAPS word ""ONLY"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,2829,ALL CAPS word,"ALL CAPS word ""ONLY"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,2857,ALL CAPS word,"ALL CAPS word ""ARM"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,2857,ALL CAPS word,"ALL CAPS word ""MIUI"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,2952,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,3171,ALL CAPS word,"ALL CAPS word ""ONLY"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,3298,ALL CAPS word,"ALL CAPS word ""ONLY"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,3759,ALL CAPS word,"ALL CAPS word ""ONLY"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,4724,ALL CAPS word,"ALL CAPS word ""ONLY"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,5184,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,5250,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,6156,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,7122,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,7126,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,7128,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,8855,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,8859,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,10872,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,10876,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,12468,ALL CAPS word,"ALL CAPS word ""NOT"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,17326,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,23246,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,23248,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,23261,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,23442,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,23453,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,23634,ALL CAPS word,"ALL CAPS word ""AND"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,26269,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,26275,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,28393,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,28399,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,30513,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,30519,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,31980,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,31986,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,34908,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,37242,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,37461,ALL CAPS word,"ALL CAPS word ""RAM"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,37461,ALL CAPS word,"ALL CAPS word ""IPS"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,37461,ALL CAPS word,"ALL CAPS word ""SIM"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,37529,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,37755,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,41079,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44399,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44399,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44401,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44403,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44407,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44407,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44469,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44568,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44676,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44676,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44678,ALL CAPS word,"ALL CAPS word ""USD"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44680,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44684,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,44684,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,45784,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,46880,ALL CAPS word,"ALL CAPS word ""BASE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50000,ALL CAPS word,"ALL CAPS word ""README"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50033,ALL CAPS word,"ALL CAPS word ""VARIABLE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50033,ALL CAPS word,"ALL CAPS word ""INITIAL"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50033,ALL CAPS word,"ALL CAPS word ""VALUE"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50073,ALL CAPS word,"ALL CAPS word ""ABC"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50076,ALL CAPS word,"ALL CAPS word ""ABC"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50079,ALL CAPS word,"ALL CAPS word ""ISO"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,50121,ALL CAPS word,"ALL CAPS word ""README"" — use bold or a known acronym",Allowlist / manual
api-detail/content-delivery-api.md,8,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,9,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,10,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,11,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,12,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,13,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,14,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,159,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,2868,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,12468,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,12474,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,12478,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,13762,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,13778,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,14420,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,17168,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,33759,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,34078,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,34906,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,36017,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37128,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37172,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37194,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37346,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37347,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37437,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37482,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37623,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37624,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37714,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,37753,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,38864,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,39973,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,44403,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,44407,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,44469,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,44568,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,44680,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,44684,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,45784,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,46880,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,47975,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,47981,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,49098,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,49099,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,50068,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,50076,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,50082,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-delivery-api.md,50102,Naked URL,Naked URL in prose — wrap it in a markdown link with descriptive text,Acceptable in API ref
api-detail/content-management-api.md,,Frontmatter,"frontmatter 'url' ""content-management-api"" should start with https:// or /",Programmatic fix
api-detail/content-management-api.md,105,Punctuation / style,"""e.g."" must be followed by a comma — use ""e.g.,""",Manual content edit
api-detail/content-management-api.md,115,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-management-api.md,653,Double space,Double space found,Manual content edit
api-detail/content-management-api.md,1390,Double space,Double space found,Manual content edit
api-detail/content-management-api.md,2001,Double space,Double space found,Manual content edit
api-detail/content-management-api.md,2274,Double space,Double space found,Manual content edit
api-detail/content-management-api.md,2963,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-management-api.md,3440,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-management-api.md,3464,Double space,Double space found,Manual content edit
api-detail/content-management-api.md,3515,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-management-api.md,3530,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-management-api.md,3689,En dash,En dash (–) not permitted — use a hyphen for ranges,Manual content edit
api-detail/content-management-api.md,3723,En dash,En dash (–) not permitted — use a hyphen for ranges,Manual content edit
api-detail/content-management-api.md,3775,Semicolon,Semicolon (;) not permitted — split into two sentences,Manual content edit
api-detail/content-management-api.md,3779,En dash,En dash (–) not permitted — use a hyphen for ranges,Manual content edit
api-detail/content-management-api.md,3944,En dash,En dash (–) not permitted — use a hyphen for ranges,Manual content edit
api-detail/content-management-api.md,3963,En dash,En dash (–) not permitted — use a hyphen for ranges,Manual content edit
api-detail/content-management-api.md,5276,Double space,Double space found,Manual content edit
