Round,#,Scenario,Details,Status,Actual Behavior
Round 1,11,Manual trigger racing a cron tick,"Manually trigger the workflow at (or very close to) the moment a scheduled cron tick is also due. Confirms the shared concurrency lock serializes the two runs instead of letting them act on Prod at the same time.",Passed (with a finding),"Edited Alpha's content and timed a manual dispatch to fire right at a due 5-minute cron mark. Finding: GitHub's scheduled trigger for this workflow fired roughly 51 minutes late relative to its nominal 5-minute cadence, a known GitHub Actions platform behavior where schedule events can be delayed under load. This makes precisely timing a manual run against a real cron tick impractical. Proved the serialization directly instead: fired two manual workflow_dispatch runs 5 seconds apart, scoped to the same two entries. The shared concurrency group (sandbox-to-prod-promote-csdocs) queued the second run rather than letting it run concurrently. Run 1 executed 07:08:57 to 07:09:32 UTC. Run 2 did not start its job until 07:09:35, after run 1 released the lock, and correctly found nothing left to do since run 1 had already applied the edit."
Round 1,12,Publish a Release with several entries at once,"Publish a Release containing 5-10 entries at once, then run promotion once. Confirms every entry in the Release is promoted in that single run, since one run scans all currently-published entries rather than reacting per-entry.",Not tested,
Round 1,13,Publish then unpublish before the next run,"Publish a new entry, then unpublish it again before the next promotion run (cron or manual) executes. Confirms it never reaches Prod at all.",Not tested,
Round 1,14,Edit an existing Prod entry then unpublish before the next run,"Publish an edit to an entry that already exists in Prod, then unpublish it again before the next promotion run. Confirms Prod keeps its last-published-and-still-current content, not the since-unpublished edit.",Passed,"Reused Beta (see scenario 6 for uids). Made a first edit to its content, published it, and promoted it, which became the new current baseline in Prod (version 3). Made a second, different edit, then published and unpublished it again before the next run. The run log showed ""No published entries to promote"", and Prod's Beta entry content matched exactly the first edit, confirming Prod kept the last published and still current content rather than the later unpublished edit."
Round 1,15,Rapidly toggle publish/unpublish then run promotion,"Toggle an entry publish/unpublish/publish a few times in quick succession, then run promotion once. Confirms whichever state the entry is actually in at run time is what ends up in Prod.",Passed,"Reused Alpha (see scenario 6 for uids). Toggled its publish state five times in quick succession (publish, unpublish, publish, unpublish, publish), ending on a known, distinct published content state, then immediately ran promotion once scoped to it. Prod's Alpha entry was updated to exactly that final published content, confirming the pipeline picks up whatever state the entry is actually in at run time rather than any intermediate toggle."
Round 1,16,Run logs clearly state per-entry outcomes,"After a promotion run, check the GitHub Actions log clearly states each entry's outcome (created / updated / skipped-no-op) so a human can tell what happened without guessing.",Not tested,
Round 1,17,Manual workflow only promotes, cron workflow does both steps,"Confirm the manual ""Promote CS Docs from Sandbox to Prod"" workflow only runs the Sandbox-to-Prod promote step, while the scheduled cron workflow always runs promote followed by the Prod-to-GitHub pull step, in that order.",Not tested,
Round 1,18,Entry of a different content type is never touched,"If a non-docs_article entry exists in the Sandbox stack, run promotion and confirm it's never fetched or processed (the sync is scoped to docs_article at the client level, independent of any trigger).",Not tested,
Round 2,19,Product resolves from Sandbox breadcrumb for all 13 products,"For each of the 13 products in product-registry.ts, an entry carrying that product's sandboxBreadcrumbUid resolves to the correct cs-docs folder slug. Covers the core fix: the old code only knew assets and headless-cms.","Automated, passing",
Round 2,20,Product resolves from Prod breadcrumb for all 13 products,"Same as above but using prodBreadcrumbUid, since afterCreate runs against the Prod entry whose breadcrumb was already remapped.","Automated, passing",
Round 2,21,"lytics-cdp resolves by folder, not by its /lytics/ url","An article with url /lytics/... and the Lytics CDP breadcrumb resolves to lytics-cdp. This is the regression a url-based fix would introduce, since folder and url namespace deliberately differ.","Automated, passing",
Round 2,22,developer-resources resolves despite carrying another product's url,"Articles with /headless-cms/, /administration/ and /developers/ urls all resolve to developer-resources when their breadcrumb says so.","Automated, passing",
Round 2,23,Multi-variant products resolve from either variant,agent-os (Automate Connectors / Automate Guides) and marketplace (Marketplace Apps / Marketplace Platform Guides) each have two breadcrumb uids, and both map to the single folder slug.,"Automated, passing",
Round 2,24,Falls back to product tag then title marker,"With no usable breadcrumb, resolution uses the product-<slug> tag, then the [Marker] title prefix, in that order.","Automated, passing",
Round 2,25,Never guesses the product from the url,"An entry with no breadcrumb, no product tag and no title marker returns linked:false with a reason, rather than deriving a product from its url.","Automated, passing",
Round 2,26,Flat product links into an existing section,"An Assets article tagged nav-subsection-overview appends a docs_article reference into the existing Overview nav_section, touching only the product_navigation entry.","Automated, passing",
Round 2,27,Nested product creates the full chain,"A Headless CMS article tagged nav-subsection-introduction/core-concepts/basics creates both missing links_2026 levels, reports both as created nodes, and republishes every one.","Automated, passing",
Round 2,28,"Existing chain is descended, not recreated","When a links_2026 node with a matching title already exists, it is reused. It is still reported as touched, because its nested_links were rewritten and its published version would otherwise go stale.","Automated, passing",
Round 2,29,Top-level doc lands in the existing blank-header section,An Analytics article tagged nav-toplevel (file sits directly in cs-docs/analytics/) appends into the existing blank-header nav_section and does not disturb named sections.,"Automated, passing",
Round 2,30,Top-level doc creates a blank-header section when none exists,"For a product with no blank-header section, a nav-toplevel article causes one to be created and flagged as a structural change.","Automated, passing",
Round 2,31,Re-linking the same entry is idempotent,"Running the link twice adds exactly one reference, not two.","Automated, passing",
Round 2,32,Unlinkable entry never fails the promotion,"Unresolvable product, missing placement tag, and missing product_navigation entry each return linked:false with a stated reason instead of throwing.","Automated, passing",
Round 2,33,Publish targets staging and development only,"PROMOTION_ENVIRONMENTS is exactly [staging, development] and contains nothing matching /prod/i, so automation can never publish to Production.","Automated, passing",
Round 2,34,Audit: every registry navUid matches the live nav,npm run nav-link-audit cross-checks all 13 product-registry.ts navUids against .nav-tree.json.,Passed: all 13 match,
Round 2,35,Audit: no docs_article would create a spurious nav section,"npm run nav-link-audit replays placement for every cs-docs markdown file. FAQ/troubleshooting files (doc_type: faq) are excluded since they become product_faqs_2026, not docs_article.","Passed: 1582 docs_article files, 0 mismatches",
Round 2,36,Environment preflight fails loudly on a missing environment,"verifyPromotionEnvironments lists /v3/environments once per run and throws naming the missing environment, rather than failing one publish at a time.",Not tested (needs live stack),
Round 2,37,Release contains the full nav chain,"After promoting a new entry, the PR-named Release holds the docs_article, its product_navigation entry, and every links_2026 node in the chain.",Not tested (needs live stack),
Round 2,38,Every touched entry is published to both environments,"After promotion, each touched entry shows publish details for staging and development.",Not tested (needs live stack),
Round 3,39,Second entry from the same PR reuses the existing Release instead of racing on create,"Unit test: call createReleaseForPromotion twice in the same run with the same PR number but different entries (the exact Alpha/Beta shape from Round 1 scenario 5), against a fake Contentstack client. Confirms createRelease is only called once and both entries' items are added to that same release uid.","Automated, passing","tools/cs-sync/src/test-release-manager.ts, test 'second entry from the same PR in the same run reuses the existing release instead of racing on create'. Fix: createReleaseForPromotion now calls the new findReleaseByName(`PR #<n>`) before createRelease. If found, it reuses that release instead of attempting a second create that would 422 on the duplicate name."
Round 3,40,Entries from different PRs still get their own separate Releases,"Unit test: call createReleaseForPromotion for PR #405 then again for PR #406, each with a different entry. Confirms the fix's reuse logic is scoped by PR number and doesn't accidentally merge unrelated PRs into one Release.","Automated, passing","tools/cs-sync/src/test-release-manager.ts, test 'entries from different PRs get different releases'. createReleaseCalls was 2, and the two returned release uids were different."
Round 3,41,First entry for a PR still creates the Release when none exists yet,"Unit test: call createReleaseForPromotion once for a PR number with no prior Release. Confirms the find-then-create fix didn't regress the original single-entry-per-PR path from Round 1 scenario 4.","Automated, passing","tools/cs-sync/src/test-release-manager.ts, test 'first entry for a PR creates the release'. findReleaseByName returned null, createRelease was called exactly once, and the item was added to it."
Round 3,42,"Live stack: two entries from the same PR, promoted together, both land in one Release","Re-run the exact scenario from Round 1 #5 (two docs from the same merged PR, published together, promoted in one run) against a live Sandbox/Prod stack now that the fix is deployed. Confirms both entries end up in the same 'PR #<n>' Release this time, closing out the original bug report, and that findReleaseByName's pagination/response parsing works against the real /v3/releases endpoint (only inferred from code, not yet confirmed live).",Not tested (needs live stack),
